Project Name,Queue Position,Interconnection Request Receive Date,Application Status,Study Process,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,MWh-1,MWh-2,MWh-3,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,Proposed On-line Date (as filed with IR),Current On-line Date,Suspension Status,Feasibility Study or Supplemental Review,System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),Interconnection Agreement Status,clean substation name,Best GIS Substation Match,GIS Lat,GIS Long,STATEFP,COUNTYFP,Transmission Capacity,Permit Status
MONTEZUMA (HIGH WINDS III),22,11/18/2003,ACTIVE,AMEND 39,Wind Turbine,Storage,,Wind Turbine,Battery,,38,38,,38,,,,Partial Capacity,50,Off-Peak Deliverability,Group D,solano,CA,PGAE,Northern,Birds Landing 230 kV,6/30/2005,4/1/2024,,,Complete,Complete,,Executed,,,38.23592700458376,-122.069842,6,95,2961.9275258202483,0
TULE WIND,32,5/12/2004,ACTIVE,Serial LGIP,Wind Turbine,,,Wind Turbine,,,193.8,,,193.8,,,,Partial Capacity,65.5,Off-Peak Deliverability,,san diego,CA,SDGE,,Boulevard East Substation 138 kV,9/1/2007,12/31/2027,,Waived,Complete,Complete,None,Executed,Boulevard East,,32.89897901180532,-117.1165041,6,73,1227.6864816956736,1
FRESNO COGENERATION EXPANSION PROJECT,61,3/28/2005,ACTIVE,AMEND 39,Steam Turbine,Storage,,Natural Gas,Battery,,73.26999664,18.5,,73.27,,,,,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Helm-Kerman 70 kV Line,5/31/2006,2/28/2023,,,Complete,Complete,,Executed,,,36.76408196833351,-119.7528327,6,19,1366.5621327552624,1
LAKE ELSINORE ADVANCED PUMPED STORAGE PROJECT,72,4/26/2005,ACTIVE,Serial LGIP,Storage,,,Pumped-Storage hydro,,,500,,,500,,,,Full Capacity,,,,riverside,CA,SDGE,,Proposed Lee Lake Substation 500 kV,12/31/2008,12/31/2028,,Waived,Complete,Re-Study,None,Executed,Proposed Lee Lake,,33.81553816391332,-117.0741547,6,65,237.51918067784663,0
BOTTLE ROCK POWER,81,9/13/2005,ACTIVE,Serial LGIP,Steam Turbine,Storage,,Geothermal,Battery,,9.435,47.4465,,52.01,,,,Energy Only,,Off-Peak Deliverability,Group A,lake,CA,PGAE,,Geysers #17-Fulton 230 kV Line,9/1/2006,10/31/2007,,None,Complete,Complete,None,Executed,,,38.967868423729975,-122.7199489,6,33,2842.229252121211,0
WINDSTAR I ALTERNATE,100,4/5/2006,ACTIVE,Serial LGIP,Wind Turbine,Storage,,Wind Turbine,Battery,,120,120,,120,,,,,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Vincent Substation 230kV,12/31/2007,8/1/2025,,Waived,Complete,None,None,Executed,Vincent,Vincent,34.48596597,-118.1184808,6,29,2098.415693858262,0
SANDSTORM WIND POWER,138,10/23/2006,ACTIVE,Serial LGIP,Wind Turbine,Storage,,Wind Turbine,Battery,,60,90,,150,,,,Partial Capacity,30.44,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Devers Substation 220 kV,12/31/2008,10/30/2024,,Waived,Complete,Complete,None,Executed,Devers,Devers,33.93691612,-116.5773269,6,65,769.7441999314055,0
DESERT SUNLIGHT PV I,146,11/16/2006,ACTIVE,Serial LGIP,Photovoltaic,Storage,,Solar,Battery,,250,230,,250,,,,Partial Capacity,65,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,12/1/2008,3/15/2024,,Required,Complete,Complete,None,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,2684.9897924475376,1
DESERT SUNLIGHT PV II,147,11/16/2006,ACTIVE,Serial LGIP,Photovoltaic,Storage,,Solar,Battery,,300,230,,300,,,,Partial Capacity,65,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,2/1/2010,3/15/2024,,Required,Complete,Complete,None,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,866.4969412099575,0
MONTEZUMA II,222,5/23/2007,ACTIVE,TC,Wind Turbine,Storage,,Wind Turbine,Battery,,78,54,,78,,,,Partial Capacity,59,Off-Peak Deliverability,Group D,solano,CA,PGAE,Northern,Birds Landing 230 kV,12/31/2010,1/29/2012,,NA,Complete,Complete,NA,Executed,,,38.23349520343351,-122.0484874,6,95,1556.8679085787485,1
AMERICAN KINGS SOLAR,272,11/1/2007,ACTIVE,TC,Photovoltaic,Storage,,Solar,Battery,,123,73.8,,123,,,,Full Capacity,,Off-Peak Deliverability,Group A,kings,CA,PGAE,Fresno,Henrietta 70 kV,6/1/2012,12/1/2020,,NA,Complete,Complete,NA,Executed,,,36.26651652932094,-119.7067657,6,31,1868.0983066095139,0
DRACKER SOLAR,294,1/15/2008,ACTIVE,TC,Photovoltaic,Storage,,Solar,Battery,,485,390.2,,485,,,,Partial Capacity,75.2,Off-Peak Deliverability,,riverside,CA,SCE,None,Colorado River Substation 500kV,6/1/2012,8/31/2023,,NA,Complete,Complete,NA,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6,65,813.7700056883757,1
ALTA VISTA SUNTOWER GENERATING STATION,297,1/18/2008,ACTIVE,TC,Steam Turbine,Storage,,Solar,Battery,,66,66,,66,,,,Partial Capacity,74.818,Off-Peak Deliverability,Group D,los angeles,CA,SCE,Northern,Neenach-Bailey 66kV line,12/1/2009,4/15/2025,,NA,Complete,Complete,NA,Executed,,,34.05271494350265,-118.2435075,6,37,2442.634234780748,0
ALMASOL,365,5/6/2008,ACTIVE,TC,Photovoltaic,Storage,,Solar,Battery,,457,50,,457,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,12/28/2013,6/1/2025,,NA,Complete,Complete,NA,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,2362.908892344221,0
LOS ESTEROS CRITICAL ENERGY FACILITY EXPANSION,378,5/28/2008,ACTIVE,TC,Combined Cycle,Storage,,Natural Gas,Battery,,120,3,,120,,,,Full Capacity,,Off-Peak Deliverability,,santa clara,CA,PGAE,Northern,Los Esteros 115 kV,6/1/2011,9/1/2023,,NA,Complete,Complete,NA,Executed,,,37.321660854449796,-121.9154856,6,85,2957.2387769787515,0
