Project Name,Queue Position,Interconnection Request Receive Date,Application Status,Study Process,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,MWh-1,MWh-2,MWh-3,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,Proposed On-line Date (as filed with IR),Current On-line Date,Suspension Status,Feasibility Study or Supplemental Review,System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),Interconnection Agreement Status,clean substation name,Best GIS Substation Match,GIS Lat,GIS Long,STATEFP,COUNTYFP,Transmission Capacity,Permit Status,Retired Plant Inverse Distance,Future Transmission Inverse Distance,Display Name,Line_Name,Min_Dist,Cap_MW,Load_Pct,Remain_MW
MONTEZUMA (HIGH WINDS III),22,11/18/2003,ACTIVE,AMEND 39,Wind Turbine,Storage,,Wind Turbine,Battery,,38.0,38.0,,38.0,,,,Partial Capacity,50.0,Off-Peak Deliverability,Group D,solano,CA,PGAE,Northern,Birds Landing 230 kV,6/30/2005,4/1/2024,,,Complete,Complete,,Executed,,,38.23592700458376,-122.06984203569756,6.0,95.0,2961.9275258202483,0,0.0563301850933588,0.0576307651217847,MONTEZUMA (HIGH WINDS III) : Birds Landing 230 kV,PG&E 115kV,0.5586704011006859,298,65,104
TULE WIND,32,5/12/2004,ACTIVE,Serial LGIP,Wind Turbine,,,Wind Turbine,,,193.8,,,193.8,,,,Partial Capacity,65.5,Off-Peak Deliverability,,san diego,CA,SDGE,,Boulevard East Substation 138 kV,9/1/2007,12/31/2027,,Waived,Complete,Complete,,Executed,Boulevard East,,32.89897901180532,-117.1165041089697,6.0,73.0,1227.6864816956736,1,0.1890210781057185,0.0437981830782227,TULE WIND : Boulevard East Substation 138 kV,SDG&E 69kV,0.7146410847928067,1572,35,1022
FRESNO COGENERATION EXPANSION PROJECT,61,3/28/2005,ACTIVE,AMEND 39,Steam Turbine,Storage,,Natural Gas,Battery,,73.26999664,18.5,,73.27,,,,,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Helm-Kerman 70 kV Line,5/31/2006,2/28/2023,,,Complete,Complete,,Executed,,,36.76408196833351,-119.7528326709006,6.0,19.0,1366.5621327552624,1,0.0179320438722036,0.0601844225516652,FRESNO COGENERATION EXPANSION PROJECT : Helm-Kerman 70 kV Line,PG&E 115kV,0.9744686030581288,1739,57,748
LAKE ELSINORE ADVANCED PUMPED STORAGE PROJECT,72,4/26/2005,ACTIVE,Serial LGIP,Storage,,,Pumped-Storage hydro,,,500.0,,,500.0,,,,Full Capacity,,,,riverside,CA,SDGE,,Proposed Lee Lake Substation 500 kV,12/31/2008,12/31/2028,,Waived,Complete,Re-Study,,Executed,Proposed Lee Lake,,33.81553816391332,-117.07415473373452,6.0,65.0,237.51918067784663,0,0.0814778683049152,0.0307256699235277,LAKE ELSINORE ADVANCED PUMPED STORAGE PROJECT : Proposed Lee Lake Substation 500 kV,SCE 500kV,0.6271490112054988,4756,59,1950
BOTTLE ROCK POWER,81,9/13/2005,ACTIVE,Serial LGIP,Steam Turbine,Storage,,Geothermal,Battery,,9.435,47.4465,,52.01,,,,Energy Only,,Off-Peak Deliverability,Group A,lake,CA,PGAE,,Geysers #17-Fulton 230 kV Line,9/1/2006,10/31/2007,,,Complete,Complete,,Executed,,,38.967868423729975,-122.71994889488931,6.0,33.0,2842.229252121211,0,0.0512347812843896,0.0637599301925072,BOTTLE ROCK POWER : Geysers #17-Fulton 230 kV Line,PG&E 60kV,4.334205977299138,240,92,19
WINDSTAR I ALTERNATE,100,4/5/2006,ACTIVE,Serial LGIP,Wind Turbine,Storage,,Wind Turbine,Battery,,120.0,120.0,,120.0,,,,,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Vincent Substation 230kV,12/31/2007,8/1/2025,,Waived,Complete,,,Executed,Vincent,Vincent,34.48596597,-118.1184808,6.0,29.0,2098.415693858262,0,0.036561270718278,0.023316840873773,WINDSTAR I ALTERNATE : Vincent Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,3.3413968528936607e-06,0,69,0
SANDSTORM WIND POWER,138,10/23/2006,ACTIVE,Serial LGIP,Wind Turbine,Storage,,Wind Turbine,Battery,,60.0,90.0,,150.0,,,,Partial Capacity,30.44,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Devers Substation 220 kV,12/31/2008,10/30/2024,,Waived,Complete,Complete,,Executed,Devers,Devers,33.93691612,-116.5773269,6.0,65.0,769.7441999314055,0,1.1957785203972957,,SANDSTORM WIND POWER : Devers Substation 220 kV,SCE 220kV,0.1027636687347591,223041,96,8922
DESERT SUNLIGHT PV I,146,11/16/2006,ACTIVE,Serial LGIP,Photovoltaic,Storage,,Solar,Battery,,250.0,230.0,,250.0,,,,Partial Capacity,65.0,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,12/1/2008,3/15/2024,,Required,Complete,Complete,,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6.0,65.0,2684.9897924475376,1,0.0352159668125485,,DESERT SUNLIGHT PV I : Red Bluff Substation 230kV,SCE 220kV,790.3262315055138,3311,76,795
DESERT SUNLIGHT PV II,147,11/16/2006,ACTIVE,Serial LGIP,Photovoltaic,Storage,,Solar,Battery,,300.0,230.0,,300.0,,,,Partial Capacity,65.0,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,2/1/2010,3/15/2024,,Required,Complete,Complete,,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6.0,65.0,866.4969412099575,0,0.0352159668125485,,DESERT SUNLIGHT PV II : Red Bluff Substation 230kV,SCE 220kV,790.3262315055138,3311,76,795
MONTEZUMA II,222,5/23/2007,ACTIVE,TC,Wind Turbine,Storage,,Wind Turbine,Battery,,78.0,54.0,,78.0,,,,Partial Capacity,59.0,Off-Peak Deliverability,Group D,solano,CA,PGAE,Northern,Birds Landing 230 kV,12/31/2010,1/29/2012,,,Complete,Complete,,Executed,,,38.23349520343351,-122.04848742907323,6.0,95.0,1556.8679085787485,1,0.0509582206568002,0.0519946726537273,MONTEZUMA II : Birds Landing 230 kV,PG&E 115kV,0.32898241560552727,298,65,104
