latitude,longitude,OBJECTID,CECPlantID,PlantName,Retired_Plant,OperatorCompanyID,County,Capacity_Latest,Units,PriEnergySource,StartDate
36.2696401320001,-119.648391474,1867,C0007,Hanford - Retired October 2011,1,Hanford LP,Kings,24,GEN 1,PC,"Sat, 01 Sep 1990 00:00:00 GMT"
36.416288643,-121.315596887,1880,E0089,Soledad Energy - Retired Jan 2006,1,Soledad Energy LLC,Monterey,13.4,BBC 13.4,WDS,"Sat, 15 Jul 2000 00:00:00 GMT"
36.7364789860001,-121.674815946,1950,G0589,Sunnyside Cogeneration Partners LP (Retired December 2008),1,Ridgewood Power Management LLC,Monterey,6.5,Gen 1-5,NG,"Wed, 01 May 1991 00:00:00 GMT"
36.801812872,-121.615593804,1951,E0144,Salinas - Closed August 2009,1,Pacific Recovery Corp,Monterey,1.5,1,LFG,"Mon, 01 Dec 1986 00:00:00 GMT"
36.911320055,-121.768679126,1985,G0661,Watsonville - (Non-Operational May 2011),1,Calpine Monterey Cogeneration Inc,Santa Cruz,30.8,"WV1JT1, WV1ST1",NG,"Tue, 01 May 1990 00:00:00 GMT"
36.895641831,-121.778005087,1987,S9111,Indalex West Inc.  ABANDONED,1,Not Available,Santa Cruz,1.2,1,SUN,"Sun, 01 Jan 2012 00:00:00 GMT"
32.70235954,-117.203324183,2005,G0986,Backup Generation - Navy Regional Data Automation Center,1,Navy Public Works,San Diego,2.4,1TG,NG,"Fri, 01 Jan 1988 00:00:00 GMT"
37.2143598910001,-121.895334237,2006,E0120,Guadalupe Power Plant (Retired 2013),1,OPAL Fuels,Santa Clara,2.6,"Unit 1, Unit 2, Unit 3, Unit 4",LFG,"Sun, 01 Apr 1984 00:00:00 GMT"
37.4299359190001,-122.175774293,2036,G0080,Cardinal Cogen - Retired 3/31/2015,1,Cardinal Cogen,Santa Clara,52.8,"GTG1, STG1",NG,"Tue, 01 Dec 1987 00:00:00 GMT"
37.413703436,-121.970538218,2049,E0141,Santa Clara - Retired Dec 2005,1,Pacific Recovery Corp,Santa Clara,1.5,1,LFG,"Mon, 01 Dec 1986 00:00:00 GMT"
37.3685909330001,-121.944536784,2054,G0144,Altivity Packaging - Santa Clara - Retired December 2017,1,Graphic Packaging International Inc,Santa Clara,25,COGEN 1,NG,"Sun, 01 Jun 1986 00:00:00 GMT"
37.3483975280001,-121.92378147,2055,G0898,San Jose FMC,1,Pacific Gas & Electric (PG&E),Santa Clara,45,Unit 1,OIL,"Tue, 27 May 1997 00:00:00 GMT"
37.327768807,-121.889470916,2066,G0121,San Jose Convention Center (Closed 2001),1,City of San Jose,Santa Clara,1.5,1,NG,"Tue, 01 May 1990 00:00:00 GMT"
37.361573949,-120.629048355,2071,E0043,J R Wood Incorporated - Retired December 2004,1,Dole Packaged Frozen Foods,Merced,1.05,GEN1,NG,"Wed, 01 Jan 1992 00:00:00 GMT"
37.362427575,-120.628323848,2072,G0283,JRW Associates LP,1,Ridgewood Power Management LLC,Merced,10.4,Unit 1-8,NG,"Mon, 01 Apr 1991 00:00:00 GMT"
37.623323161,-122.39276816,2088,G0636,United Cogen Inc (SFO) - Retired 3/31/2012,1,United Cogen Inc,San Mateo,31,"CTG, STG",NG,"Sun, 01 Dec 1985 00:00:00 GMT"
37.494546078,-122.174568067,2090,E0123,Marsh Road Power Plant (Retired 2013),1,OPAL Fuels,San Mateo,2,"Unit 1, Unit 2, Unit 3, Unit 4",LFG,"Thu, 01 Dec 1983 00:00:00 GMT"
37.4498282860001,-122.103359995,2095,E0146,Byxbee Park Sanitary Landill - Retired December 2004,1,WPI Packaging & Maintenance Co,Santa Clara,2,"GEN1, GEN2",OGW,"Mon, 01 Jan 1990 00:00:00 GMT"
37.455115893,-121.935751845,2096,E0179,Newby Island I,1,OPAL Fuels,Santa Clara,2,"Unit 1, Unit 2, Unit 3, Unit 4",LFG,"Sat, 01 Sep 1984 00:00:00 GMT"
37.454762665,-121.932363085,2097,E0122,Newby Island II (Retired 2010),1,OPAL Fuels,Santa Clara,3.3,"1, 2, 3",LFG,"Fri, 01 Dec 1989 00:00:00 GMT"
37.539341795,-121.269400839,2098,E0134,Modesto Energy - Retired Dec 2002,1,Modesto Energy LP,Stanislaus,14,MELP,OGW,"Tue, 26 Apr 1988 00:00:00 GMT"
37.484998197,-120.867946213,2102,E0012,TID Fuel Cell (Retired 2012),1,Turlock Irrigation District,Stanislaus,1.2,FC,OBG,"Tue, 20 Jan 2009 00:00:00 GMT"
